name	path	bytes	notes
ExM-KOLF2.2J-Day4_filtered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/ExM-KOLF2.2J-Day4/mudata/star_chromap_filtered_multiome.h5mu	4216287362	filtered MuData output
ExM-KOLF2.2J-Day4_unfiltered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/ExM-KOLF2.2J-Day4/mudata/star_chromap_unfiltered_multiome.h5mu	7593859286	unfiltered MuData output
ExM-KOLF2.2J-Day6_filtered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/ExM-KOLF2.2J-Day6/mudata/star_chromap_filtered_multiome.h5mu	1943556047	filtered MuData output
ExM-KOLF2.2J-Day6_unfiltered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/ExM-KOLF2.2J-Day6/mudata/star_chromap_unfiltered_multiome.h5mu	3959866847	unfiltered MuData output
PrS-KOLF2.2J-Hyp-Day4_filtered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/PrS-KOLF2.2J-Hyp-Day4/mudata/star_chromap_filtered_multiome.h5mu	4072645917	filtered MuData output
PrS-KOLF2.2J-Hyp-Day4_unfiltered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/PrS-KOLF2.2J-Hyp-Day4/mudata/star_chromap_unfiltered_multiome.h5mu	6706483381	unfiltered MuData output
PrS-KOLF2.2J-Hyp-Day6_filtered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/PrS-KOLF2.2J-Hyp-Day6/mudata/star_chromap_filtered_multiome.h5mu	3130487927	filtered MuData output
PrS-KOLF2.2J-Hyp-Day6_unfiltered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/PrS-KOLF2.2J-Hyp-Day6/mudata/star_chromap_unfiltered_multiome.h5mu	5807352803	unfiltered MuData output
PrS-KOLF2.2J-Nor-Day4_filtered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/PrS-KOLF2.2J-Nor-Day4/mudata/star_chromap_filtered_multiome.h5mu	2561147759	filtered MuData output
PrS-KOLF2.2J-Nor-Day4_unfiltered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/PrS-KOLF2.2J-Nor-Day4/mudata/star_chromap_unfiltered_multiome.h5mu	6038850777	unfiltered MuData output
PrS-KOLF2.2J-Nor-Day6_filtered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/PrS-KOLF2.2J-Nor-Day6/mudata/star_chromap_filtered_multiome.h5mu	3558525285	filtered MuData output
PrS-KOLF2.2J-Nor-Day6_unfiltered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/PrS-KOLF2.2J-Nor-Day6/mudata/star_chromap_unfiltered_multiome.h5mu	6384325983	unfiltered MuData output
TE-KOLF2.2J-Hyp_filtered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/TE-KOLF2.2J-Hyp/mudata/star_chromap_filtered_multiome.h5mu	4699356767	filtered MuData output
TE-KOLF2.2J-Hyp_unfiltered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/TE-KOLF2.2J-Hyp/mudata/star_chromap_unfiltered_multiome.h5mu	7271915811	unfiltered MuData output
TE-KOLF2.2J-Nor_filtered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/TE-KOLF2.2J-Nor/mudata/star_chromap_filtered_multiome.h5mu	4976991295	filtered MuData output
TE-KOLF2.2J-Nor_unfiltered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/TE-KOLF2.2J-Nor/mudata/star_chromap_unfiltered_multiome.h5mu	8206730329	unfiltered MuData output
Und-KOLF2.2J_filtered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/Und-KOLF2.2J/mudata/star_chromap_filtered_multiome.h5mu	5325204828	filtered MuData output
Und-KOLF2.2J_unfiltered_h5mu	/mnt/pikachu/JAX_Multiome01_processed/star_multiome_prod_globus_20260517T183219Z/samples/Und-KOLF2.2J/mudata/star_chromap_unfiltered_multiome.h5mu	6578974102	unfiltered MuData output
